Username,Text Tweet,Sentiment
telucareer,"bersama kak Tasha Maric Tan.  Pada sharing kali ini juga akan ada informasi lengkap mengenai Lowongan Pekerjaan, jadi untuk Akang Teteh dan TelUtizen yang tertarik dan penasaran tentang perusahaan CTI Group,",1
telucareer,"bekerja diperusahaan tersebut, yaitu kak Okta Puspita sebagai Team Leader of Technical Network Security at CTI Group dan merupakan Alumni S1 Sistem Informasi Angkatan 2015.  Sharing kali ini akan dipandu oleh Moderator yang juga merupakan alumni D3 Teknik Informatika 2012,",0
telucareer,CTI Group adalah Perusahaan IT yang mendistribusikan merek-merek Teknologi Informasi terkemuka di dunia. Saat ini CTI memiliki 13 perusahaan IT di beberapa area berdasarkan diferensiasi produk dan layanan.   Bersama alumni kebanggaan Telkom University sebagai narasumber yang,0
telucareer,"[Alumni Sharing Chapter Industry &amp; Campus Hiring #2]  Halo Akang Teteh Alumni &amp; TelUtizen! Direktorat Pengembangan Karir Alumni dan Endowment kembali mengadakan Alumni Sharing Chapter Industry #2 bersama CTI Group dengan tema ""Working in Technology Company"".  https://t.co/dQwmvTMern",1
telucareer,"CAE di tahun 2021, kamu tetap diperbolehkan mendaftar lagi ya.  Setelah mendaftar kamu akan dihubungi oleh admin perihal jadwal dan teknis pelaksanaan. Jika ada yang ingin ditanyakan silakan chat Admin di nomor 0821-1836-2845.",1
telucareer,"kesiapan kamu dalam lingkungan kerja.  Supaya lebih yakin, kamu bisa coba 2 dari 5 jenis tes pengembangan karir yang tersedia di Tel-U CAE nih, yuk daftar di link  https://t.co/27pnrIJsty Dan untuk kamu yang pernah mengikuti psikotes Tel-U",1
telucareer,"Halo #TelUTizen, dalam proses seleksi kerja, kamu akan dihadapkan dengan berbagai tes. Tentu kamu perlu persiapan yang matang juga terus latihan. Namun hal pertama yang perlu kamu tahu adalah memastikan bahwa kamu sudah yakin dengan pilihan karir dan  https://t.co/YKuyISxd1g",0
telucareer,"- Strong analytical thinking skill, fast learner, team player, and result oriented - Good communication both oral and written  Your privilages : - Free - Bootcamp allowance - Job guarantee - Career path - Solid team - Great mentor - Great trainer",0
telucareer,IT BOOT CAMP!  Your requirements : - Fresh Graduate from any major - Has strong interest and passion in Information technology especially software programming - Have experiences in software development or developing application (is a plus) - Hungry for challenge  https://t.co/hwidV2hoCe,0
telucareer,"[Remote] The Software Practice  Positions: - Software Development Engineer (Remote) - Business Analyst (Remote) - QA Engineer (Remote)  Send CV &amp; Portofolio to: hr@thesoftwarepractice.com  For more info, visit:  https://t.co/Uxht4j1mag  https://t.co/2KZ8pq9F0C",0
telucareer,"Tertarik untuk bergabung? Kalian dapat langsung registrasi di:  https://t.co/BOGHHfXj0k atau Scan QR Code di e-flyer ini. Kami tunggu registrasimu hingga Sabtu, 19 Maret 2022.  Dare yourself to find new challenge and make impact together with Bank Mandiri.",1
telucareer,Dear Tel-U Graduates!  Bank Mandiri mengajak kamu untuk berkarya dan mendapatkan eksposur menarik serta membangun relationship dengan perusahaan besar pada Segmen Commercial melalui program Officer Development Program  Wholesale (ODP-Wholesale) Bank Mandiri.  https://t.co/A79RzYAgms,1
telucareer,"employees, &amp; partners  We are inviting the member of Universitas Indonesia to grow and positively transform by working in a fast-growing startup company, and be one of 80% of Visterns that are accepted to work in the top 10 companies in Southeast Asia after finishing their  https://t.co/6lYLNgFJvi",1
telucareer,"[REMOTE WORKING OPPORTUNITY]  Want to work remotely in the Business world? our startup is the answer for you.  We are the most innovative hospitality startup company in Bali and Yogyakarta that inventing new ways to inspire delight that positively transform our guests,  https://t.co/Um2eTDO9Uj",1
telucareer,"ParagonCorp  The event will be held on: 🗓: Saturday and Sunday, 26-27 march 2022 ⏰: 08.00 - 17.00 WIB   Register yourself before 25th March, 12.00 WIB on the link below Link:  https://t.co/WzqnVbDZmb  Also don’t forget to Join Recruitment and be part of Paragon Corp by complete",0
telucareer,Paragon company.  Main Event: Virtual Job Fair In Virtual Tour Exhibition (You can ask anything to our team at Virtual Tour Exhibition) Sharing session with Paragon University about Management Trainee and Paragon Leader Development Program (PLDP) Career opportunity to join with,0
telucareer,[Job Fair Paragon]  There is always a best place to be able to develop yourself to be better. What you have been waiting for will come. Get closer and know more about paragoncorp and team by joining a sharing session with Paragonian to get the opportunity to be part of  https://t.co/DMUY6BhheH,0
telucareer,[FULL TIME] PT Radhika Patangga Jagaditha  Posisi : Staff Data Center  Penempatan :  - Cirebon - Kuningan - Majalenka - Indramayu - Banten - Cilegon  Apply :  https://t.co/E3aKIjI7tY  https://t.co/NTdsleXRmE,0
telucareer,[FULL TIME] Dir. Pemasaran dan Admisi Tel-U  Posisi : Spesialis Konten - TLH (Tenaga Lepas Harian)  Kirim CV &amp; Portofolio anda ke : officer@smbbtelkom.ac.id Subject : TLH - Admisi (KONTEN) atau akses  https://t.co/mgKq61WSYk  Periode pendaftaran : 14-25 Maret 2022  https://t.co/LmpIPkdOTR,0
telucareer,[FULL TIME] Dir. Pemasaran dan Admisi Tel-U  Posisi : Spesialis Desain - TLH (Tenaga Lepas Harian)  Kirim CV &amp; Portofolio anda ke : officer@smbbtelkom.ac.id Subject : TLH - Admisi (DESAINER) atau akses  https://t.co/mgKq61WSYk  Periode pendaftaran : 14-25 Maret 2022  https://t.co/77QtDnxwEQ,0
telucareer,[LOWONGAN KERJA] List perusahaan yang sedang mencari : ⤵️ 🔸 PT Citius Solusi Indonesia 🔸 PT Bimasakti Multi Sinergi 🔸 PT Radhika Patangga Jagaditha  Apply :  https://t.co/Vnh8Xkb8rR  https://t.co/BZflxrYMMs,1
telucareer,berkas pendaftaran dapat dikirimkan dalam satu dokumen pdf dengan format nama; dokumen Beasiswa_Kominfo2022_(NamaLengkap) ke alamat beasiswaln@mail.kominfo.go.id.   Info beasiswa ini dapat diliat lebih detail di  https://t.co/hDkmicFbWa,0
telucareer,"pendaftaran ke Kementerian Kominfo serta perguruan tinggi yang dituju.  Formulir pendaftaran, Surat Izin Atasan, Surat Rekomendasi dan Form Check list berkas pendaftaran dapat diunduh melalui tautan https://k-cloud.kominfo.go.id/s/BeasiswaS2LNKominfo. Seluruh",0
telucareer,"masyarakat digital.  Pendaftaran untuk program beasiswa S2 Luar Negeri terbagi menjadi 2 tahapan: Batas waktu tahap 1, 28 Februari 2022, untuk tujuan studi Tsinghua University; dan 31 Maret 2022, untuk Negara tujuan studi lainnya. Calon pendaftar agar memperhatikan batas waktu",0
